,summonerName
154,Adeamus
155,TSM AphroPoo
156,W0FL
157,BronZe VelKoz 83
158,Jones Rengar
159,CatchRivenIfUCan
160,AnarchyOfTheBan
161,HailFidgetSpiner
162,Ardent Slave 69
163,iwouldpayforit
164,Gojirâ
165,Eight B
166,BoJack Z
167,DoctorRatio
168,zFreak
169,Mematho
170,Believe in fate
171,4N00BSANDME
172,Í Hate My Suport
173,WALIDOX ZT
174,RusBan
175,CG Rojovsred
176,zLeth
177,67k
178,timotije11
179,kajin2
180,Icepoker
181,Pétard Choupinou
182,Dont B Negativè
183,Minzo
184,Bionus
185,Krakayn
186,Yasuokan
187,Ultimate Doomer
188,Graaadium
189,i suk at lig
190,better go next
191,Lars33yy
192,mtVb
193,Princess Sorakaa
194,Pornstar Samira
195,useless cløwn 
196,Pintani
197,doku doku no mi
198,Ithaka
199,OTP4EV3R
200,Supertoxicteddy
201,GG BenQ Pipophil
202,Colex v3
203,Jhin the 2nd
204,Stop pushing
0,Serefchan
1,skovlov
2,Jüki
3,Weber
4,MoH3N
5,Kuudereji
6,Kuk Kungen
7,DvaXAhriXMomo
8,bαbγgirl
9,lookin 4 husband
10,DPI50
11,Hi im coju
12,BIM CLEF DE BRAS
13,CegarSin
14,Kfc Manáger
15,OsmoseAlmighty
16,Sephiroths
17,Kingû
18,DvK1
19,I Love Belinda
20,Undeath
21,Salt Package
22,DG Icedancer
23,ReyganV2
24,TheG0blinTV
25,Sir GentIeman
26,l Lucksky l
27,vavou87
28,Strofee
29,TwilightHater
30,aαaαaαaαaα
31,VEKT v2
32,1LaureL1
33,MotanulFermecat
34,5h3it4n
35,Bike Vayne
36,B1er en T1eten
37,Kharried
38,MyPwIsNot1234
39,ILoveTeemou2
40,Petite Banana
41,lm doony
42,CruncyWilliam
43,MeowImSchuggi
44,573854
45,SSGSS TEEMO
46,Jisοo
47,A Toxic Vayne
48,Νelly
49,280297
50,Gîn Wedabest
51,Hi im Dëxtër
52,Raid More
53,FoxFireDesu
54,KataIsMyWaifω
55,BABAO
56,Súck My Soldiers
57,Yáwako
58,Ukko1
59,Send Me RP uWu
60,Wra1th
61,ZedPlaysLUL
62,techno fanboy
63,Tiki AkA
64,Pirat Drogowy
65,Eblan V Time
66,Diwine
67,GrovmanFangirl
68,Yung Jamster
69,respekterakvinna
70,Patel LoL
71,Reformedburpster
72,JunglêGapVictim
73,Śmieć z easta
74,Amortisi
75,BBM MemberKKT
76,TSMdoublewiff
77,ABKBM
78,Oh Hell 2 Da Naw
79,free elø
80,YES DADDY YES
81,XPedrovskiGamerX
82,moon lover
83,Víllie
84,LeagueOfLenvas
85,LRY BZD
86,Ràvèn
87,DeYiBoss
88,781247
89,Zeelk v2
90,Lox
91,Leryα
92,Pheudosap
93,Im a split v3
94,Kυrøkø
95,Ψ ƒyck
96,Frôdo
97,JE SUIS CONDAMNÉ
98,POMA
99,kapi7oshka
100,Pain Sad Fear 
101,xXlorenzsanXx10
102,True HyPeR CarrY
103,Silhouette
104,Toffeeliam
105,Path0fExi1e
106,BonoboFromChina
107,sockradekablar
108,ALBAKAAAAA
109,Divina Comedia
110,MrKnopperz
111,sawqt
112,Nélios v2
113,R2K Great
114,SnowAPM
115,IkeaStuhl
116,YI2Chall
117,SimpelHD
118,Cute Prinny
119,Diana of Caldia
120,ToastyMcRoasty
121,FB GeTeJe
122,llIIl
123,AKS Tri0NyX
124,PapaFrancesco96
125,me la kasco
126,Statsh
127,NoBacon4You
128,Moe Farah
129,LordBrokkoli
130,DeliciousCrayons
131,Bearbiscuit
132,Zerinth
133,FïshMooney
134,Sliffnoy
135,BestGraGasPlayer
136,Narnour
137,Diction
138,lumbridge1
139,AUTISTIC TRASH69
140,Buzd0van
141,Useless ADC 2K20
142,IlllIIIllllIlIl
143,Indisposable
144,WoXiangFei
145,mute all at 0000
146,Gucc1 Mane
147,PandaThe0rmeX
148,krul bota powrut
149,seeeddd
150,KÖNIG GRINGODOX
151,Aftynrose ASMR
152,Prenad
153,Jason Genova
154,If i R u go kys
155,01Eren01
156,ISIS in Paris
157,Patristhal
158,Saitama Jester
159,Hasaki2YourHeart
160,Mcobra
161,Kyarsz
162,TheRogueNinja
163,ˆYaphetS
164,Kameleos
165, Aguilar ZED
166,YA39OUB DZ 
167,An Apprentice
168,YoungStrelow
169,JannaGotNoMana
170,Ma quando mai 
171,Gosu Black
172,Best KaiSa Ever
173,GankMePlez
174,FallingLove
175,Twinkalicious
176,BigDirector
177,Draven CN
178,OT  WołV
179,ESL Modem
180,V U C K  F A N G
181,Ryusaga
182,Maclovelin
183,chabachibou
184,Mr Rational
185,Rixys
186,Anna Wesołowska
187,Forgive my Shiv
188,Xe1rakiss
189,Teddy World
190,MwitK
191,III Kayn III
192,Xixauxas Jr
193,King savage
194,eQ Silent Swab
195,MasterHunter K
196,Nekrob Riven
197,SOA SOA SOA
198,Bαrrel
199,SERlOUSIee
200,Maraz Ali West
201,DWT Chrome
202,Adrien Hunou FC
203,Mofae
204,Obi Dunk Kenobi
0,Hφllφw
1,ccccllllllll
2,Salazzar
3,ZiuBsoN
4,Burandoto
5,Born to death
6,Bewítchíng Janna
7,xtrabit
8,Samurai28
9,Ornns Dirty Ass
10,Muminovsky
11,bLankkz
12,aadversary
13,Kestâne
14,602
15,Victorioo
16,Ageonect
17,By Pars
18,MVP Sugar
